BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,GenderCode,RaceDesc,MaritalDesc,TrainingType,TrainingOutcome,CurrentEmployeeRating,EngagementScore,SatisfactionScore,Work-LifeBalanceScore,TrainingDurationDays,TrainingCost,Age,PerformanceScore
MSC,Active,Contract,Zone A,Part-Time,Sales,Female,Hispanic,Divorced,Internal,Incomplete,3,5,3,4,5,592.96,69,1
TNS,Terminated,Contract,Zone C,Temporary,Production,Female,Asian,Married,External,Passed,3,3,2,1,2,801.28,65,1
SVG,Terminated,Full-Time,Zone A,Temporary,Sales,Female,Asian,Married,Internal,Incomplete,3,4,1,3,2,717.95,60,1
TNS,Active,Full-Time,Zone A,Full-Time,Sales,Female,Other,Divorced,Internal,Passed,3,2,5,2,1,846.22,31,1
PL,Active,Full-Time,Zone B,Full-Time,Production,Female,Asian,Divorced,External,Passed,3,4,5,4,4,275.62,47,1
SVG,Terminated,Part-Time,Zone C,Temporary,Production,Female,Other,Divorced,External,Passed,3,1,1,5,5,837.05,51,1
MSC,Active,Full-Time,Zone A,Temporary,Production,Male,White,Married,Internal,Incomplete,3,2,3,4,3,202.35,22,1
PL,Active,Part-Time,Zone A,Full-Time,Production,Female,Black,Married,External,Passed,3,1,5,4,4,590.97,63,1
TNS,Terminated,Part-Time,Zone C,Full-Time,Production,Female,Asian,Widowed,External,Failed,3,5,2,2,5,744.55,44,1
PYZ,Active,Contract,Zone B,Full-Time,Production,Female,Other,Married,Internal,Incomplete,3,4,2,5,2,141.91,29,1
CCDR,Active,Part-Time,Zone B,Temporary,Production,Female,Asian,Married,External,Completed,3,5,3,4,2,883.34,33,1
PYZ,Active,Full-Time,Zone A,Part-Time,Production,Male,White,Divorced,Internal,Passed,3,3,4,1,4,176.82,70,1
TNS,Terminated,Part-Time,Zone A,Full-Time,Production,Female,Black,Married,External,Failed,3,2,3,1,1,767.22,73,1
CCDR,Active,Contract,Zone C,Part-Time,Production,Female,Other,Divorced,External,Completed,3,2,4,1,5,555.6,72,1
CCDR,Terminated,Contract,Zone B,Full-Time,Production,Female,Other,Married,Internal,Incomplete,3,2,5,3,2,316.03,48,1
EW,Terminated,Part-Time,Zone B,Part-Time,Production,Female,Other,Married,Internal,Failed,3,5,5,5,1,540.96,53,1
CCDR,Active,Full-Time,Zone A,Temporary,Production,Female,White,Widowed,External,Failed,3,3,1,1,3,444.23,73,1
TNS,Active,Full-Time,Zone C,Part-Time,Production,Female,Other,Widowed,Internal,Failed,3,4,3,2,5,497.54,48,1
PL,Active,Part-Time,Zone A,Part-Time,Production,Female,Other,Single,Internal,Incomplete,3,4,2,4,4,300.95,25,1
NEL,Active,Full-Time,Zone B,Temporary,Production,Female,Asian,Widowed,Internal,Incomplete,3,1,4,2,2,283.06,64,1
PYZ,Active,Part-Time,Zone C,Temporary,Production,Female,Other,Single,External,Failed,3,5,4,4,1,398.23,70,1
MSC,Terminated,Part-Time,Zone C,Full-Time,Production,Female,Other,Divorced,External,Incomplete,3,3,2,1,1,331.8,24,1
EW,Active,Contract,Zone A,Temporary,Production,Male,Asian,Single,External,Incomplete,3,2,2,3,4,349.48,25,1
BPC,Active,Full-Time,Zone B,Full-Time,Production,Female,Black,Married,External,Failed,3,4,2,3,1,596.48,28,1
NEL,Active,Part-Time,Zone A,Temporary,Production,Female,White,Widowed,Internal,Incomplete,3,4,1,3,2,677.45,53,1
SVG,Active,Contract,Zone A,Temporary,Production,Female,Other,Divorced,Internal,Failed,3,4,4,3,5,664.61,78,1
EW,Active,Full-Time,Zone C,Full-Time,Production,Female,White,Single,External,Completed,3,1,5,1,5,405.13,76,1
MSC,Terminated,Contract,Zone B,Full-Time,Production,Female,White,Single,Internal,Incomplete,3,2,5,4,5,781.27,70,1
TNS,Terminated,Full-Time,Zone B,Part-Time,Production,Female,Other,Divorced,Internal,Failed,3,3,5,1,5,983.61,45,1
PYZ,Active,Part-Time,Zone B,Temporary,Production,Female,Asian,Single,Internal,Failed,3,1,4,5,1,656.46,50,1
WBL,Active,Part-Time,Zone C,Full-Time,Production,Female,Hispanic,Married,External,Failed,3,5,4,5,1,446.07,31,1
NEL,Active,Contract,Zone A,Temporary,Production,Male,Black,Divorced,Internal,Passed,3,5,4,3,1,676.42,28,1
PL,Active,Full-Time,Zone C,Temporary,Production,Female,Hispanic,Married,Internal,Passed,3,3,5,5,5,861.83,38,1
BPC,Active,Part-Time,Zone C,Full-Time,Production,Female,Asian,Widowed,Internal,Failed,3,2,5,1,5,769.23,64,1
CCDR,Active,Full-Time,Zone B,Temporary,Production,Female,Black,Single,Internal,Failed,3,5,2,2,4,983.02,72,1
SVG,Active,Contract,Zone B,Temporary,Production,Female,White,Widowed,Internal,Incomplete,3,5,5,2,3,474.95,60,1
EW,Active,Contract,Zone C,Full-Time,Production,Female,Black,Divorced,Internal,Failed,3,1,4,2,3,800.81,73,1
MSC,Active,Full-Time,Zone C,Part-Time,Production,Female,White,Single,Internal,Failed,3,5,1,3,2,844.93,51,1
TNS,Active,Contract,Zone A,Temporary,Production,Female,Black,Single,External,Completed,3,1,3,5,4,903.8,29,1
PL,Active,Full-Time,Zone A,Temporary,Production,Female,Other,Married,External,Incomplete,3,4,2,5,4,329.3,20,1
BPC,Active,Full-Time,Zone C,Temporary,Production,Female,Black,Divorced,Internal,Incomplete,3,3,1,1,1,332.51,73,1
CCDR,Active,Contract,Zone B,Temporary,Production,Female,Other,Married,External,Failed,3,2,1,3,2,643.63,70,1
SVG,Active,Contract,Zone A,Part-Time,Production,Female,White,Divorced,Internal,Failed,3,4,3,3,2,827.05,69,1
EW,Active,Full-Time,Zone A,Full-Time,Production,Female,Hispanic,Divorced,External,Failed,3,5,2,4,3,995.42,48,1
MSC,Active,Full-Time,Zone A,Full-Time,Production,Female,Other,Single,External,Passed,3,5,5,1,4,360.61,34,1
TNS,Active,Contract,Zone A,Full-Time,Production,Female,Other,Married,External,Passed,3,4,3,1,3,658.54,44,1
PYZ,Active,Part-Time,Zone A,Temporary,Production,Female,White,Single,Internal,Failed,3,3,5,2,5,250.11,29,1
WBL,Active,Part-Time,Zone B,Full-Time,Production,Female,Asian,Divorced,Internal,Failed,3,3,3,2,4,819.65,29,1
NEL,Active,Full-Time,Zone C,Part-Time,Production,Female,Black,Widowed,Internal,Completed,3,2,4,3,2,186.77,23,1
PL,Active,Contract,Zone A,Temporary,Production,Female,Other,Widowed,External,Passed,3,3,2,2,4,633.67,78,1
PYZ,Active,Full-Time,Zone A,Part-Time,Production,Female,Black,Widowed,Internal,Incomplete,3,1,3,3,3,236.34,59,1
SVG,Terminated,Contract,Zone B,Full-Time,Production,Female,White,Widowed,Internal,Incomplete,3,5,3,5,4,504.62,42,1
TNS,Terminated,Contract,Zone B,Temporary,Production,Female,White,Married,External,Incomplete,3,1,4,2,1,217.86,28,1
WBL,Terminated,Contract,Zone B,Part-Time,Production,Female,Other,Married,External,Completed,3,5,5,1,4,148.97,35,1
PYZ,Active,Contract,Zone B,Full-Time,Production,Female,Other,Divorced,Internal,Completed,3,3,3,4,1,628.83,20,1
WBL,Active,Part-Time,Zone B,Part-Time,Production,Female,Asian,Widowed,Internal,Completed,3,2,1,2,2,458.78,71,1
NEL,Active,Contract,Zone C,Temporary,Production,Male,Other,Married,External,Completed,3,5,5,2,2,892.65,48,1
PL,Active,Full-Time,Zone C,Temporary,Production,Female,Black,Widowed,External,Passed,3,4,1,5,1,211.17,41,1
BPC,Active,Part-Time,Zone A,Temporary,Production,Female,Asian,Widowed,External,Passed,3,1,2,2,2,478.95,78,1
CCDR,Active,Contract,Zone C,Temporary,Production,Female,White,Widowed,Internal,Incomplete,3,5,2,2,1,319.94,24,1
SVG,Active,Part-Time,Zone B,Part-Time,Production,Female,Hispanic,Married,Internal,Passed,3,4,4,4,2,601.66,74,1
EW,Active,Contract,Zone B,Temporary,Production,Female,Asian,Married,Internal,Completed,3,3,2,2,1,999.96,28,1
MSC,Active,Contract,Zone B,Full-Time,Production,Female,White,Single,External,Incomplete,3,2,3,2,2,138.67,36,1
TNS,Active,Contract,Zone A,Temporary,Production,Female,Black,Widowed,External,Failed,3,4,5,4,2,962.76,67,1
EW,Active,Part-Time,Zone B,Temporary,Production,Female,Asian,Divorced,External,Incomplete,3,2,5,4,4,106.88,38,1
MSC,Active,Part-Time,Zone B,Part-Time,Production,Female,White,Widowed,Internal,Passed,3,4,3,1,1,561.89,31,1
NEL,Active,Contract,Zone C,Full-Time,Production,Female,White,Widowed,Internal,Incomplete,3,1,3,5,5,775.52,63,1
PL,Active,Full-Time,Zone B,Part-Time,Production,Female,Black,Single,External,Incomplete,3,2,5,4,4,397.01,48,1
PYZ,Active,Contract,Zone C,Temporary,Production,Female,Asian,Divorced,External,Incomplete,3,5,2,1,5,739.74,36,1
SVG,Active,Full-Time,Zone C,Temporary,Production,Female,White,Widowed,External,Completed,3,2,1,4,2,789.2,45,1
TNS,Active,Part-Time,Zone A,Full-Time,Production,Female,Black,Widowed,Internal,Failed,3,2,1,4,3,428.51,75,1
WBL,Active,Part-Time,Zone A,Temporary,Production,Female,Asian,Widowed,External,Incomplete,3,1,3,4,4,646.72,67,1
BPC,Active,Contract,Zone B,Part-Time,Production,Female,White,Divorced,External,Incomplete,3,5,3,5,3,742.84,78,1
CCDR,Active,Part-Time,Zone C,Part-Time,Production,Female,Hispanic,Divorced,External,Incomplete,3,3,4,4,2,894.92,60,1
EW,Active,Full-Time,Zone C,Full-Time,Production,Female,Asian,Single,External,Failed,3,2,1,5,1,222.56,30,1
MSC,Active,Part-Time,Zone C,Temporary,Production,Female,Asian,Single,Internal,Passed,3,1,2,4,2,699.76,46,1
SVG,Active,Contract,Zone A,Full-Time,Production,Female,Hispanic,Married,External,Incomplete,3,2,4,4,3,124.93,53,1
EW,Active,Part-Time,Zone A,Full-Time,Production,Female,Black,Single,External,Incomplete,3,3,1,3,5,664.12,45,1
MSC,Terminated,Full-Time,Zone C,Temporary,Production,Female,Hispanic,Widowed,External,Passed,3,4,4,4,2,862.82,40,1
TNS,Active,Contract,Zone C,Full-Time,Production,Female,Black,Single,External,Passed,3,2,5,1,1,813.01,76,1
PYZ,Active,Full-Time,Zone B,Full-Time,Production,Female,Asian,Married,External,Incomplete,3,4,1,5,4,349.75,37,1
WBL,Active,Full-Time,Zone C,Full-Time,Production,Male,Asian,Married,External,Failed,3,1,3,1,1,244.5,45,1
NEL,Active,Contract,Zone C,Part-Time,Production,Male,Asian,Divorced,Internal,Completed,3,5,2,4,3,873.52,26,1
PL,Active,Full-Time,Zone A,Full-Time,Production,Female,White,Divorced,External,Passed,3,4,1,5,1,358.65,31,1
BPC,Active,Full-Time,Zone C,Part-Time,Production,Female,Asian,Married,Internal,Passed,3,2,4,1,1,632.33,74,1
CCDR,Active,Full-Time,Zone C,Full-Time,Production,Female,Asian,Married,External,Failed,3,4,2,3,2,565.81,19,1
SVG,Active,Contract,Zone A,Part-Time,Production,Female,Asian,Single,Internal,Completed,3,4,3,4,3,849.04,80,1
EW,Active,Contract,Zone C,Full-Time,Production,Female,White,Married,Internal,Failed,3,2,5,4,1,519.43,76,1
MSC,Active,Part-Time,Zone A,Temporary,Production,Female,Black,Married,Internal,Passed,3,5,3,2,2,694.03,17,1
TNS,Active,Full-Time,Zone B,Full-Time,Production,Female,White,Single,External,Incomplete,3,5,2,2,1,738.69,65,1
PL,Active,Part-Time,Zone C,Part-Time,Production,Female,Black,Single,External,Completed,3,1,1,5,5,970.6,25,1
BPC,Active,Part-Time,Zone C,Part-Time,Production,Female,White,Married,External,Passed,3,5,2,1,1,651.4,27,1
CCDR,Active,Contract,Zone C,Part-Time,Production,Female,White,Married,Internal,Passed,3,1,3,3,5,809.68,53,1
SVG,Active,Contract,Zone C,Full-Time,Production,Female,Black,Married,External,Passed,3,5,1,5,5,570.91,30,1
EW,Active,Part-Time,Zone A,Part-Time,Production,Female,Other,Divorced,Internal,Incomplete,3,3,1,4,1,852.72,45,1
MSC,Active,Part-Time,Zone C,Part-Time,Production,Female,Asian,Widowed,Internal,Incomplete,3,2,2,4,1,787.98,72,1
TNS,Active,Contract,Zone A,Part-Time,Production,Female,White,Single,Internal,Failed,3,3,5,3,1,942.72,56,1
PYZ,Active,Contract,Zone B,Part-Time,Production,Female,Asian,Married,External,Failed,3,2,5,4,2,626.4,27,1
WBL,Active,Contract,Zone A,Full-Time,Production,Female,Asian,Widowed,Internal,Failed,3,3,1,3,4,765.68,78,1
NEL,Active,Full-Time,Zone C,Full-Time,Production,Female,White,Widowed,Internal,Completed,3,5,4,5,3,904.54,69,1
CCDR,Active,Part-Time,Zone C,Temporary,Production,Female,Black,Single,Internal,Incomplete,3,5,2,4,2,761.28,23,1
SVG,Active,Part-Time,Zone B,Part-Time,Production,Female,Hispanic,Married,Internal,Completed,3,1,4,4,4,507.49,64,1
EW,Active,Part-Time,Zone B,Temporary,Production,Female,White,Divorced,Internal,Incomplete,3,5,3,1,5,862.9,32,1
MSC,Active,Contract,Zone C,Temporary,Production,Female,Black,Married,Internal,Incomplete,3,4,5,3,4,528.18,25,1
TNS,Active,Contract,Zone A,Full-Time,Production,Female,White,Divorced,External,Passed,3,5,4,2,2,805.7,31,1
PYZ,Active,Contract,Zone A,Full-Time,Production,Female,White,Divorced,External,Failed,3,3,4,1,1,190.55,63,1
WBL,Active,Contract,Zone C,Part-Time,Production,Male,Hispanic,Married,Internal,Failed,3,4,1,3,3,605.36,57,1
NEL,Active,Full-Time,Zone A,Temporary,Production,Male,White,Divorced,Internal,Passed,3,5,5,4,1,338.16,38,1
PL,Terminated,Full-Time,Zone C,Temporary,Production,Female,White,Married,External,Completed,3,4,4,5,3,969.03,36,1
BPC,Active,Part-Time,Zone C,Part-Time,Production,Female,Asian,Divorced,External,Failed,3,5,5,5,3,442.39,81,1
CCDR,Active,Full-Time,Zone A,Full-Time,Production,Female,Other,Married,External,Incomplete,3,2,4,3,1,952.69,72,1
SVG,Active,Contract,Zone C,Temporary,Production,Female,Hispanic,Single,External,Passed,3,4,1,2,1,842.36,68,1
EW,Active,Contract,Zone B,Full-Time,Production,Female,Hispanic,Married,External,Failed,3,4,5,3,5,333.78,77,1
MSC,Active,Part-Time,Zone C,Full-Time,Production,Female,White,Single,Internal,Passed,3,1,3,5,2,343.22,56,1
EW,Active,Contract,Zone C,Full-Time,Production,Female,Other,Single,Internal,Failed,3,5,4,4,1,283.86,48,1
MSC,Active,Contract,Zone A,Full-Time,Production,Female,Asian,Single,Internal,Passed,3,1,5,1,5,107.29,34,1
NEL,Active,Full-Time,Zone C,Part-Time,Production,Female,White,Divorced,External,Failed,3,5,2,1,4,320.87,73,1
PL,Active,Contract,Zone C,Part-Time,Production,Female,White,Divorced,Internal,Incomplete,3,4,3,5,3,670.68,59,1
PYZ,Active,Full-Time,Zone C,Temporary,Production,Female,Other,Widowed,External,Incomplete,3,3,1,5,3,685.62,31,1
SVG,Active,Contract,Zone A,Full-Time,Production,Female,White,Divorced,Internal,Completed,3,3,4,5,5,842.88,53,1
TNS,Active,Contract,Zone A,Full-Time,Production,Female,White,Widowed,Internal,Incomplete,3,2,1,5,5,735.7,46,1
WBL,Active,Contract,Zone A,Temporary,Production,Female,White,Single,Internal,Passed,3,5,4,1,5,974.31,43,1
PYZ,Active,Part-Time,Zone B,Full-Time,Production,Female,Hispanic,Single,Internal,Incomplete,3,1,2,2,3,760.53,67,1
WBL,Active,Part-Time,Zone B,Full-Time,Production,Female,Hispanic,Widowed,Internal,Passed,3,3,2,4,5,640.97,52,1
NEL,Active,Contract,Zone A,Full-Time,Production,Female,Other,Married,External,Incomplete,3,4,5,2,5,807.49,42,1
PL,Active,Full-Time,Zone A,Full-Time,Production,Female,Black,Divorced,Internal,Completed,3,5,5,1,3,350.22,78,1
PYZ,Active,Full-Time,Zone A,Temporary,Production,Female,Asian,Married,Internal,Completed,3,4,1,1,4,447.67,77,1
SVG,Terminated,Full-Time,Zone B,Temporary,Production,Female,White,Single,Internal,Incomplete,3,5,5,2,5,737.61,32,1
TNS,Active,Part-Time,Zone B,Part-Time,Production,Female,White,Married,External,Completed,3,4,2,3,4,444.96,66,1
WBL,Active,Contract,Zone B,Temporary,Production,Female,Other,Married,External,Failed,3,4,1,4,1,605.05,62,1
BPC,Active,Part-Time,Zone A,Temporary,Production,Female,Asian,Married,External,Failed,3,1,1,4,4,744.4,32,1
CCDR,Active,Contract,Zone C,Temporary,Production,Male,Black,Single,External,Incomplete,3,4,2,4,1,230.77,60,1
EW,Active,Contract,Zone C,Temporary,Production,Female,Hispanic,Divorced,External,Incomplete,3,2,2,4,5,569.44,39,1
MSC,Active,Contract,Zone B,Full-Time,Production,Female,Hispanic,Divorced,External,Passed,3,3,2,2,1,677.67,50,1
NEL,Active,Contract,Zone C,Full-Time,Production,Female,Asian,Married,External,Incomplete,3,3,4,4,1,963.42,20,1
PL,Active,Contract,Zone A,Part-Time,Production,Female,Asian,Divorced,External,Completed,3,5,4,3,3,488.66,43,1
PYZ,Active,Part-Time,Zone A,Full-Time,Production,Female,Black,Widowed,Internal,Completed,3,4,4,1,3,450.94,60,1
SVG,Active,Contract,Zone B,Full-Time,Production,Female,White,Divorced,External,Completed,3,2,1,2,3,407.99,59,1
TNS,Active,Contract,Zone C,Part-Time,Production,Female,White,Married,Internal,Completed,3,5,3,3,2,423.31,52,1
EW,Active,Part-Time,Zone B,Full-Time,Production,Female,Asian,Divorced,Internal,Incomplete,3,3,4,3,1,189.64,81,1
MSC,Active,Contract,Zone C,Part-Time,Production,Female,Black,Single,Internal,Incomplete,3,3,1,1,3,102.77,23,1
NEL,Active,Part-Time,Zone C,Full-Time,Production,Female,Asian,Widowed,External,Completed,3,1,2,3,5,246.13,32,1
PL,Active,Contract,Zone A,Temporary,Production,Female,Hispanic,Married,External,Failed,3,2,3,1,5,628.62,72,1
PYZ,Active,Part-Time,Zone C,Part-Time,Production,Female,Black,Married,Internal,Passed,3,2,5,5,4,739.32,55,1
SVG,Active,Full-Time,Zone A,Full-Time,Production,Female,Other,Divorced,Internal,Passed,3,5,3,1,3,773.16,26,1
TNS,Active,Contract,Zone C,Full-Time,Production,Female,Black,Single,External,Completed,3,3,4,4,3,838.65,38,1
WBL,Active,Part-Time,Zone C,Full-Time,Production,Female,Black,Widowed,External,Incomplete,2,2,1,4,3,426.55,54,0
BPC,Active,Part-Time,Zone B,Temporary,Production,Female,Other,Divorced,External,Incomplete,5,2,4,1,2,254.35,70,0
BPC,Active,Full-Time,Zone B,Part-Time,Production,Female,Hispanic,Widowed,External,Completed,4,1,4,5,2,829.08,49,0
CCDR,Active,Contract,Zone A,Temporary,Production,Female,Other,Divorced,External,Incomplete,4,1,1,1,2,710.31,78,3
SVG,Terminated,Full-Time,Zone B,Temporary,Production,Female,Hispanic,Married,External,Completed,5,4,4,2,1,751.81,58,0
EW,Active,Part-Time,Zone B,Part-Time,Production,Female,Asian,Single,Internal,Passed,2,1,1,3,1,598.51,57,3
MSC,Active,Contract,Zone A,Full-Time,Production,Female,Asian,Widowed,Internal,Incomplete,5,1,4,5,3,958.29,34,3
TNS,Active,Contract,Zone A,Temporary,Production,Female,Hispanic,Widowed,External,Completed,2,1,4,3,5,200.34,71,3
PYZ,Active,Part-Time,Zone C,Part-Time,Production,Female,Hispanic,Single,External,Completed,4,3,4,2,3,365.03,60,2
WBL,Active,Contract,Zone C,Temporary,Production,Male,White,Widowed,Internal,Passed,2,5,5,1,4,782.43,57,3
NEL,Active,Contract,Zone B,Temporary,Production,Female,Hispanic,Widowed,External,Passed,1,4,1,1,1,668.91,80,3
PL,Terminated,Part-Time,Zone A,Temporary,Production,Female,White,Widowed,Internal,Completed,2,1,2,4,5,804.37,44,2
BPC,Active,Part-Time,Zone C,Part-Time,Production,Female,Other,Divorced,External,Failed,5,3,3,5,3,869.94,33,3
CCDR,Active,Contract,Zone C,Temporary,Production,Female,Black,Single,Internal,Passed,4,1,4,2,4,399.55,73,3
SVG,Active,Full-Time,Zone A,Temporary,Production,Female,Asian,Single,Internal,Passed,5,2,3,1,4,470.24,65,2
EW,Active,Part-Time,Zone B,Temporary,Production,Female,Other,Widowed,External,Failed,4,4,3,1,2,157.04,76,3
MSC,Active,Part-Time,Zone B,Full-Time,Production,Female,White,Widowed,Internal,Passed,2,5,1,5,2,394.54,76,3
NEL,Active,Contract,Zone C,Part-Time,Production,Female,White,Single,External,Completed,4,5,4,1,2,326.98,27,3
PL,Active,Contract,Zone A,Part-Time,Production,Female,Asian,Married,Internal,Incomplete,2,5,2,1,5,752.82,41,3
BPC,Active,Part-Time,Zone C,Full-Time,Production,Female,Black,Divorced,Internal,Completed,4,1,4,2,2,990.89,75,2
CCDR,Active,Full-Time,Zone B,Full-Time,Production,Female,Hispanic,Divorced,External,Incomplete,2,2,3,2,4,531.69,27,3
SVG,Active,Part-Time,Zone C,Temporary,Production,Female,White,Widowed,Internal,Completed,5,3,2,4,3,384.28,20,3
EW,Active,Part-Time,Zone A,Temporary,Production,Female,White,Married,External,Passed,5,1,2,3,5,803.08,78,3
MSC,Active,Contract,Zone C,Full-Time,Production,Female,Asian,Divorced,External,Incomplete,2,4,4,1,1,131.78,51,2
TNS,Active,Part-Time,Zone A,Full-Time,Production,Female,Asian,Married,Internal,Passed,5,4,1,3,2,459.39,22,3
BPC,Active,Full-Time,Zone C,Temporary,Production,Female,Asian,Married,External,Passed,5,3,3,2,1,949.46,46,2
CCDR,Active,Contract,Zone B,Temporary,Production,Female,White,Widowed,External,Failed,2,3,5,3,4,169.71,42,3
SVG,Terminated,Contract,Zone B,Temporary,Production,Female,White,Single,Internal,Completed,2,4,1,5,2,238.23,73,3
EW,Active,Full-Time,Zone B,Part-Time,Production,Female,White,Divorced,External,Incomplete,4,4,5,3,2,486.63,18,3
MSC,Active,Part-Time,Zone C,Temporary,Production,Female,Black,Married,External,Failed,1,3,4,4,2,692.5,52,0
TNS,Active,Contract,Zone A,Part-Time,Production,Female,Black,Single,Internal,Passed,4,2,2,3,5,119.71,66,2
PYZ,Active,Full-Time,Zone A,Temporary,Production,Female,Black,Widowed,External,Passed,2,1,3,1,2,168.47,68,2
WBL,Active,Part-Time,Zone B,Temporary,Production,Male,Other,Divorced,External,Incomplete,2,5,5,2,4,951.82,31,2
NEL,Active,Contract,Zone C,Part-Time,Production,Female,Other,Married,Internal,Completed,1,3,5,2,4,444.22,49,2
PL,Terminated,Part-Time,Zone C,Part-Time,Production,Female,Black,Widowed,Internal,Passed,4,1,2,1,5,591.83,69,2
BPC,Active,Full-Time,Zone A,Full-Time,Production,Female,Other,Widowed,Internal,Passed,2,2,3,3,5,936.77,58,2
CCDR,Active,Contract,Zone A,Full-Time,Production,Female,Black,Single,External,Passed,1,2,3,2,4,797.13,46,0
SVG,Active,Part-Time,Zone B,Temporary,Production,Female,Hispanic,Widowed,Internal,Completed,2,4,2,5,1,420.72,21,3
EW,Active,Contract,Zone A,Part-Time,Production,Female,Asian,Married,Internal,Completed,2,2,2,4,5,218.13,66,3
MSC,Active,Part-Time,Zone A,Part-Time,Production,Female,Other,Divorced,Internal,Incomplete,1,2,2,2,1,659.25,27,3
EW,Active,Contract,Zone C,Temporary,Production,Female,Hispanic,Divorced,Internal,Completed,2,1,5,2,3,282.21,55,3
MSC,Active,Part-Time,Zone B,Full-Time,Production,Female,White,Widowed,Internal,Passed,2,1,4,4,2,935.49,52,3
NEL,Active,Contract,Zone A,Part-Time,Production,Female,Black,Widowed,External,Completed,2,4,5,4,3,264.84,51,3
PL,Active,Contract,Zone C,Full-Time,Production,Female,Hispanic,Married,Internal,Completed,2,2,3,3,1,619.72,72,3
PYZ,Active,Contract,Zone A,Temporary,Production,Female,Other,Widowed,Internal,Failed,2,2,5,1,3,248.83,55,3
TNS,Active,Full-Time,Zone B,Temporary,Production,Female,Hispanic,Divorced,Internal,Completed,2,2,5,4,4,474.09,24,3
WBL,Active,Full-Time,Zone A,Full-Time,Production,Female,Other,Divorced,External,Failed,1,3,3,5,4,251.83,30,3
MSC,Terminated,Full-Time,Zone A,Temporary,Production,Female,Other,Divorced,External,Completed,2,3,1,1,1,386.89,76,3
NEL,Active,Contract,Zone B,Temporary,Production,Female,Hispanic,Divorced,External,Passed,4,2,1,2,3,535.19,39,3
PL,Active,Full-Time,Zone A,Full-Time,Production,Female,Black,Widowed,Internal,Passed,5,1,1,2,1,409.66,72,3
PYZ,Terminated,Full-Time,Zone A,Temporary,Production,Female,White,Single,Internal,Failed,5,5,3,5,2,747.63,24,3
SVG,Active,Full-Time,Zone B,Full-Time,Production,Female,Asian,Widowed,External,Incomplete,5,2,1,1,3,794.12,52,3
TNS,Active,Contract,Zone B,Temporary,Production,Female,Hispanic,Married,External,Failed,1,4,4,4,3,845.94,71,3
WBL,Active,Part-Time,Zone C,Temporary,Production,Female,White,Widowed,External,Completed,2,3,1,4,4,606.89,64,3
BPC,Active,Contract,Zone C,Part-Time,Production,Female,Other,Married,Internal,Completed,4,3,5,3,2,190.07,75,3
CCDR,Active,Part-Time,Zone A,Temporary,Production,Male,Other,Married,External,Failed,4,1,3,2,4,795.38,47,3
EW,Terminated,Part-Time,Zone B,Full-Time,Production,Female,Other,Single,Internal,Passed,4,1,2,4,1,972.82,77,3
MSC,Active,Part-Time,Zone B,Temporary,Production,Female,Black,Widowed,Internal,Failed,3,5,1,3,2,763.44,29,3
NEL,Active,Contract,Zone A,Full-Time,Production,Female,Asian,Married,Internal,Incomplete,4,4,2,5,1,152.69,70,3
PL,Active,Full-Time,Zone B,Full-Time,Production,Female,White,Married,External,Failed,3,2,4,3,1,989.3,61,3
PYZ,Active,Full-Time,Zone C,Temporary,Production,Female,White,Widowed,External,Completed,5,1,1,1,3,833.52,38,3
SVG,Active,Full-Time,Zone A,Part-Time,Production,Female,Other,Married,Internal,Completed,3,1,1,5,5,329.65,34,3
TNS,Active,Contract,Zone C,Full-Time,Production,Female,Asian,Single,Internal,Completed,3,1,4,3,1,443.04,70,3
WBL,Active,Full-Time,Zone B,Temporary,Production,Female,Asian,Married,External,Incomplete,3,3,5,4,5,136.81,51,3
NEL,Active,Contract,Zone B,Full-Time,Production,Female,White,Married,Internal,Failed,1,5,5,4,3,665.2,53,3
PL,Active,Part-Time,Zone C,Full-Time,Production,Female,Black,Divorced,Internal,Incomplete,3,3,1,3,2,978.55,70,3
BPC,Active,Contract,Zone C,Full-Time,Production,Female,Asian,Divorced,External,Failed,3,5,3,3,4,652.57,71,3
CCDR,Active,Contract,Zone B,Part-Time,Production,Female,Asian,Widowed,External,Passed,3,2,2,1,2,953.59,22,3
EW,Active,Part-Time,Zone B,Full-Time,Production,Female,Black,Divorced,Internal,Incomplete,3,5,1,4,2,851.51,23,3
MSC,Active,Full-Time,Zone A,Full-Time,Production,Female,Black,Widowed,External,Failed,3,5,2,4,1,200.13,25,3
PL,Active,Full-Time,Zone C,Part-Time,Production,Female,Black,Widowed,External,Completed,3,1,5,2,2,347.4,73,3
BPC,Active,Full-Time,Zone A,Part-Time,Production,Female,Hispanic,Married,External,Passed,3,1,3,2,3,243.07,29,3
CCDR,Terminated,Part-Time,Zone C,Temporary,Production,Female,Other,Single,External,Incomplete,3,2,4,1,2,198.08,27,3
SVG,Terminated,Contract,Zone A,Part-Time,Production,Female,Asian,Divorced,External,Completed,3,1,4,3,5,372.55,34,3
EW,Active,Full-Time,Zone B,Temporary,Production,Female,Black,Married,External,Incomplete,3,1,1,5,2,446.22,52,3
MSC,Active,Contract,Zone C,Temporary,Production,Female,Hispanic,Widowed,External,Completed,2,1,3,3,2,512.6,32,3
TNS,Active,Full-Time,Zone B,Full-Time,Production,Female,Asian,Married,External,Completed,2,2,1,1,5,357.52,33,3
